row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
476,37,previous_db,False,46.0,102.0,27.92,5.2839379254491625,1.62,5.315217391304348,0,1000.0,,,,,88.0,47.48442520332443,58.17960324812106,1.0
477,170,previous_db,False,200.0,196.35,87.02,9.328451104015071,1.19,5.375,0,1000.0,,,,,1041.0,976.0955411001628,1115.3057043389006,1.0
478,111,previous_db,False,127.0,119.38,24.89,4.988987873306569,0.75,5.401574803149606,0,1000.0,,,,,200.0,206.06088055424468,251.47509463777632,1.0
479,75,previous_db,False,114.0,356.0,23.77,4.8754486972995625,3.73,6.236842105263158,0,1000.0,,,,,498.0,344.81903438572994,424.6893582125265,1.0
480,92,previous_db,False,64.0,62.83,32.17,5.671860364994893,0.98,6.40625,0,1000.0,,,,,105.0,60.771705991797695,76.82943169278319,1.0
481,104,previous_db,False,40.5,100.0,27.82,5.274466797696237,1.45,6.666666666666667,0,1000.0,,,,,79.0,39.61720579818014,45.44995927013478,1.0
482,105,previous_db,False,100.0,150.0,32.34,5.686826883245173,0.37,7.7,0,1000.0,,,,,137.0,187.6652871470907,152.87744976421573,1.0
483,173,previous_db,False,80.77,119.38,23.75,4.873397172404482,1.5,2.358548966200322,0,1000.0,,,,,160.0,103.99475006773282,142.79737442472938,1.0
484,33,previous_db,False,121.67,159.44,23.58,4.8559242168715935,0.66,1.984877126654064,0,1000.0,,,,,271.0,219.23285258569567,236.9460307810684,1.0
485,174,previous_db,False,107.0,240.0,55.2,7.429670248402684,0.51,9.25233644859813,0,1000.0,,,,,400.0,364.1302191818851,270.0547989959104,1.0
486,175,previous_db,False,128.0,235.62,24.3,4.929503017546495,1.06,5.5078125,0,1000.0,,,,,430.0,302.85503630811377,347.1544957353244,1.0
487,27,previous_db,False,114.3,254.0,24.1,4.909175083453431,2.3,6.675415573053368,0,1000.0,,,,,378.0,272.79122856989943,367.2352933973262,1.0
488,176,previous_db,False,160.0,200.0,28.2,5.310367218940701,0.94,0.625,0,1000.0,,,,,1099.0,403.7578403904994,482.70688642129073,1.0
489,177,previous_db,False,75.0,100.0,27.64,5.2573757712379665,1.5,6.0,0,1000.0,,,,,180.0,91.08403523669776,125.45288164763332,1.0
490,33,previous_db,False,121.67,159.44,15.29,3.9102429592034302,0.66,1.984877126654064,0,1000.0,,,,,230.0,176.53770527777758,205.08662248366304,1.0
491,173,previous_db,False,80.77,119.38,49.47,7.033491309442274,1.5,2.358548966200322,0,1000.0,,,,,243.0,150.08958739723084,182.3670282161739,1.0
492,59,previous_db,False,117.0,203.0,25.93,5.0921508225896055,1.9,4.987179487179487,0,1000.0,,,,,292.0,251.6581673730364,352.4032249126804,1.0
493,71,previous_db,False,99.0,98.17,23.55,4.852834223420372,0.4,5.373737373737374,0,1000.0,,,,,148.0,125.03897875833894,123.1980581501266,1.0
494,125,previous_db,False,107.0,450.0,30.29,5.503635162326805,1.06,11.91588785046729,0,1000.0,,,,,397.0,426.9963199461904,384.99370643731487,1.0
495,178,previous_db,False,83.0,80.11,37.99,6.163602842493991,1.75,3.060240963855422,0,1000.0,,,,,149.0,110.14562664607018,165.03973925572612,1.0
496,111,previous_db,False,127.0,119.38,24.89,4.988987873306569,0.75,5.401574803149606,0,1000.0,,,,,202.0,206.06088055424468,251.47509463777632,1.0
497,111,previous_db,False,95.0,150.0,39.9,6.316644678941502,1.49,7.105263157894737,0,1000.0,,,,,320.0,194.06627447111975,239.435077174444,1.0
498,179,previous_db,False,80.0,179.86,12.73,3.5679125549822546,1.34,7.9375,0,1000.0,,,,,152.0,97.90785909037992,127.8683183737726,1.0
499,52,previous_db,False,114.3,203.0,21.09,4.592385001282014,1.05,6.898512685914261,0,1000.0,,,,,343.0,219.85103959057184,259.7956866666174,1.0
500,49,previous_db,False,200.0,150.0,97.75,9.886859966642595,2.62,5.125,0,1000.0,,,,,1450.0,913.5458609177758,1300.9644988236528,1.0
501,84,previous_db,False,35.0,100.0,35.33,5.943904440685432,1.28,7.714285714285714,0,1000.0,,,,,57.0,37.07213199655504,37.700128495810695,1.0
502,180,previous_db,False,91.0,200.0,21.18,4.602173399601541,1.5,8.06043956043956,0,1000.0,,,,,252.0,160.8686030091999,201.6553367892953,1.0
503,104,previous_db,False,40.5,100.0,28.8,5.366563145999495,0.69,6.666666666666667,0,1000.0,,,,,57.0,40.30895344281119,35.895415261693294,1.0
504,163,previous_db,False,125.0,508.0,33.93,5.82494635168428,1.52,7.112,0,1000.0,,,,,580.0,608.2059483647624,603.4779053658197,1.0
505,28,previous_db,False,82.0,173.57,19.17,4.378355855797928,1.33,8.408536585365853,0,1000.0,,,,,240.0,121.11800619261376,149.85117035570025,1.0
506,124,previous_db,False,82.0,201.0,12.35,3.5142566781611158,0.89,5.280487804878049,0,1000.0,,,,,215.0,107.64842942489706,120.4035851645084,1.0
